plan_internacional;min_en_dia;min_internacionales;reclamos;llamadas_internacionales;desafiliado
0;265.1;10;1;3;0
0;161.6;13.7;1;3;0
0;243.4;12.2;0;5;0
1;299.4;6.6;2;7;0
1;166.7;10.1;3;3;0
1;223.4;6.3;0;6;0
0;218.2;7.5;3;7;0
1;157;7.1;0;6;0
0;184.5;8.7;1;4;0
1;258.6;11.2;0;5;0
0;129.1;12.7;4;6;1
0;187.7;9.1;0;5;0
0;128.8;11.2;1;2;0
0;156.6;12.3;3;5;0
0;120.7;13.1;4;6;0
0;332.9;5.4;4;9;1
0;196.4;13.8;1;4;0
0;190.7;8.1;3;3;0
0;189.7;10;1;5;0
0;224.4;13;1;2;0
0;155.1;10.6;0;4;0
0;62.4;5.7;5;6;1
0;183;9.5;0;19;0
0;110.4;7.7;2;6;0
0;81.1;10.3;0;2;0
0;124.3;15.5;3;5;0
0;213;9.5;0;3;0
0;134.3;14.7;3;4;0
0;190;6.3;0;6;0
0;119.3;11.1;1;1;0
0;84.8;14.2;2;6;0
0;226.1;10.3;1;5;0
0;212;12.6;3;10;0
0;249.6;11.8;1;3;1
0;176.8;8.3;0;4;0
0;220;14.7;3;6;0
0;146.3;14.5;0;6;0
0;130.8;10;1;5;0
1;203.9;10.5;3;6;0
0;140.4;11.1;1;9;0
0;126.3;9.4;3;2;0
1;173.1;14.6;0;15;1
0;124.8;10;2;4;0
0;85.8;9.2;3;4;0
0;154;3.5;1;3;0
0;120.9;8.5;2;5;0
0;211.3;13.2;3;5;0
0;187;7.4;2;5;0
0;159.1;8.8;5;3;1
0;133.2;11;1;3;0
0;191.9;7.8;3;5;0
0;220.6;6.8;1;3;0
0;186.1;11.4;2;6;0
0;160.2;9.3;2;5;0
0;151;9.7;5;3;1
0;175.5;10.2;1;3;0
0;126.9;8;1;2;0
0;198.4;5.8;3;3;1
0;148.8;12.1;3;3;0
0;229.3;12;1;8;0
0;192.1;11.4;1;4;0
0;268.6;11.6;2;3;0
0;193.7;14.6;2;3;0
0;180.7;12.6;3;3;0
0;131.2;8.2;2;6;0
0;148.1;6.2;2;5;0
1;251.5;9.3;0;4;0
1;125.2;8.3;0;8;0
0;211.6;7.8;1;1;0
0;178.9;13.8;4;3;1
0;241.8;11.8;3;7;0
0;224.9;12.1;0;2;0
0;248.6;8;3;4;0
