Tienda;diadeSemana;fecha;ventas;Clientes;Open;Promo;StateHoliday;SchoolHoliday
1;5;31/07/2015;5263;555;1;1;0;1
2;5;31/07/2015;6064;625;1;1;0;1
3;5;31/07/2015;8314;821;1;1;0;1
4;5;31/07/2015;13995;1498;1;1;0;1
5;5;31/07/2015;4822;559;1;1;0;1
6;5;31/07/2015;5651;589;1;1;0;1
7;5;31/07/2015;15344;1414;1;1;0;1
8;5;31/07/2015;8492;833;1;1;0;1
9;5;31/07/2015;8565;687;1;1;0;1
10;5;31/07/2015;7185;681;1;1;0;1
11;5;31/07/2015;10457;1236;1;1;0;1
12;5;31/07/2015;8959;962;1;1;0;1
13;5;31/07/2015;8821;568;1;1;0;0
14;5;31/07/2015;6544;710;1;1;0;1
15;5;31/07/2015;9191;766;1;1;0;1
16;5;31/07/2015;10231;979;1;1;0;1
17;5;31/07/2015;8430;946;1;1;0;1
18;5;31/07/2015;10071;936;1;1;0;1
19;5;31/07/2015;8234;718;1;1;0;1
20;5;31/07/2015;9593;974;1;1;0;0
21;5;31/07/2015;9515;682;1;1;0;1
22;5;31/07/2015;6566;633;1;1;0;0
23;5;31/07/2015;7273;560;1;1;0;1
24;5;31/07/2015;14190;1082;1;1;0;1
25;5;31/07/2015;14180;1586;1;1;0;1
26;5;31/07/2015;7818;611;1;1;0;1
27;5;31/07/2015;13213;1263;1;1;0;1
28;5;31/07/2015;7301;663;1;1;0;1
29;5;31/07/2015;9411;737;1;1;0;1
30;5;31/07/2015;4776;625;1;1;0;1
31;5;31/07/2015;7248;645;1;1;0;1
32;5;31/07/2015;6395;635;1;1;0;0
33;5;31/07/2015;10789;915;1;1;0;1
34;5;31/07/2015;11144;1162;1;1;0;1
35;5;31/07/2015;12412;777;1;1;0;1
36;5;31/07/2015;12422;1251;1;1;0;0
37;5;31/07/2015;9091;888;1;1;0;1
38;5;31/07/2015;7434;608;1;1;0;1
39;5;31/07/2015;8336;929;1;1;0;1
40;5;31/07/2015;5464;678;1;1;0;1
41;5;31/07/2015;6938;494;1;1;0;0
42;5;31/07/2015;11946;1235;1;1;0;1
43;5;31/07/2015;8096;683;1;1;0;1
44;5;31/07/2015;6670;665;1;1;0;1
45;5;31/07/2015;6301;442;1;1;0;1
